"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
253,,"2022-03-10 13:40:40","Public MD",M3,,No,Yes,Yes,48,248,No,400,1000,650,0,1450,300,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,Agree,"Strongly agree","Significantly more than",24,Man,White,No,Complete
254,,"2022-03-10 18:14:19","Private MD",M1,,Yes,Yes,No,0,212,"Yes, full",0,4000,1000,2550,4000,1000,10050,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,"Strongly agree",Agree,"Strongly agree","Strongly agree","The same as",25,Woman,White,Yes,Complete
255,,"2022-03-10 20:49:57","Private MD",M4,,No,No,No,200,200,"Yes, partial",0,4000,500,1500,2000,1000,2100,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Significantly more than",27,Woman,"Black or African American",No,Complete
256,,"2022-03-11 09:27:00","Private MD",M3,,No,Yes,No,0,216,"Yes, full",1900,3000,2950,1800,2350,1950,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",26,Woman,White,Yes,Complete
257,,"2022-03-11 15:16:07","Private MD",M2,,No,No,No,0,100,"Yes, partial",750,0,450,0,1100,550,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,,Agree,"Strongly agree","Strongly agree",Agree,"The same as",24,Woman,White,No,Complete
258,,"2022-03-11 19:18:54","Private MD",M2,,No,Yes,Yes,40,0,"Yes, MSTP or other PhD funded program",500,1200,300,200,400,250,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Disagree,Neutral,"Significantly more than",26,Woman,"Native Hawaiian or Pacific Islander",No,Complete
259,,"2022-03-12 17:57:07","Private MD",M3,,No,No,Yes,44,0,"Yes, partial",100,150,450,0,1300,500,,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
260,,"2022-03-12 18:16:43","Public MD",M4,,No,Yes,Yes,12,320,No,500,2500,500,150,1500,150,300,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",26,Man,White,No,Complete
261,,"2022-03-13 09:27:10","Public MD",M2,,No,Yes,Yes,40,0,"Yes, MSTP or other PhD funded program",0,1000,450,200,700,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",24,Woman,Asian,No,Complete
262,,"2022-03-13 09:28:52","Public MD",M3,,No,Yes,Yes,4,152,"Yes, partial",150,1300,500,250,1400,200,,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Agree,Neutral,Disagree,"Strongly agree","Significantly more than",26,Woman,White,No,Complete
263,,"2022-03-13 09:29:55","Public MD",M3,,No,Yes,No,0,120,No,2000,2800,1000,500,2000,2000,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly agree","Strongly agree","Significantly more than",29,Man,White,No,Complete
264,,"2022-03-13 09:31:47","Public MD",M3,,No,Yes,Yes,52,0,No,100,1500,200,100,1300,150,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Neutral,Agree,Disagree,Disagree,"The same as",26,Woman,White,No,Complete
265,,"2022-03-13 09:33:22","Public MD",M3,,No,Yes,No,0,248,"Yes, partial",300,2500,500,200,,200,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",27,Man,White,Yes,Complete
266,,"2022-03-13 09:50:19","Public MD",M3,,No,No,No,0,180,"Yes, partial",0,1500,500,0,1250,400,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,Agree,Disagree,Neutral,Neutral,"Significantly more than",27,Man,White,No,Complete
267,,"2022-03-13 09:55:52","Public MD",M2,,Yes,Yes,No,0,252,"Yes, partial",250,3000,150,1500,2500,150,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,Agree,Neutral,"Strongly agree",Agree,"The same as",23,Woman,White,No,Complete
268,,"2022-03-13 09:58:56","Public MD",M4,,No,Yes,No,20,260,"Yes, partial",200,1600,150,100,1300,300,1500,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Yes,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",29,Man,White,No,Complete
269,,"2022-03-13 10:03:37","Public MD",M1,,Yes,Yes,Yes,120,120,"Yes, partial",100,2000,1000,2000,1000,1000,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",,"Strongly agree","Strongly agree","Significantly more than",22,Woman,Asian,No,Complete
270,,"2022-03-13 10:12:41","Public MD",M4,,No,Yes,No,0,216,"Yes, partial",200,1950,750,,1700,5000,2550,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,No,,Agree,Disagree,Agree,Disagree,,27,Woman,White,No,Complete
271,,"2022-03-13 10:13:00","Public MD",M2,,No,No,Yes,80,0,"Yes, partial",100,2000,600,100,500,250,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,Agree,Neutral,"Significantly more than",24,Woman,White,No,Complete
272,,"2022-03-13 10:13:51","Public MD",M1,,No,Yes,No,76,240,No,50,1050,400,0,0,100,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,"Strongly agree","Significantly more than",28,Woman,"Native Hawaiian or Pacific Islander",No,Complete
273,,"2022-03-13 10:17:16","Public MD",M4,,No,Yes,No,0,296,No,1500,2500,1250,200,1000,100,2100,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly less than",27,Woman,White,No,Complete
274,,"2022-03-13 10:22:17","Public MD",M1,,No,No,Yes,0,92,No,0,700,200,200,0,100,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,No,,Agree,Disagree,Agree,Agree,"Significantly more than",27,Woman,White,No,Complete
275,,"2022-03-13 10:30:05","Public MD",M1,,No,No,No,56,280,"Yes, partial",300,1200,500,500,,200,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",25,Woman,White,No,Complete
276,,"2022-03-13 10:42:11","Public MD",M3,,No,Yes,Yes,16,188,No,150,1650,1500,200,1350,300,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",24,Woman,White,No,Complete
277,,"2022-03-13 10:54:12","Public MD",M2,,No,Yes,Yes,52,160,"Yes, partial",100,1250,500,300,700,100,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,"Strongly agree","Strongly agree","Significantly more than",25,Woman,White,No,Complete
278,,"2022-03-13 11:18:18","Public MD",M4,,No,Yes,Yes,4,200,No,150,1000,400,1000,700,50,300,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Yes,,"Strongly agree","Strongly disagree",Agree,Disagree,"Significantly more than",27,Woman,White,No,Complete
279,,"2022-03-13 11:58:51","Public MD","Graduate student, professional student years",,No,Yes,No,28,44,"Yes, MSTP or other PhD funded program",550,1350,700,550,900,900,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,Agree,"Significantly more than",29,Man,White,No,Complete
280,,"2022-03-13 12:09:32","Public MD",M4,,No,Yes,No,0,256,"Yes, partial",200,1000,200,150,1500,250,600,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,No,,Agree,Neutral,Disagree,Disagree,"The same as",28,Woman,White,No,Complete
281,,"2022-03-13 12:20:40","Public MD",M1,,No,Yes,No,0,196,"Yes, partial",400,1350,750,350,,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree",Agree,Agree,"Significantly more than",24,Man,White,No,Complete
282,,"2022-03-13 12:45:03","Public MD",Other,PGY1,No,Yes,No,100,4,"Yes, partial",650,1200,900,800,2500,1550,6000,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",26,Woman,White,No,Complete
283,,"2022-03-13 12:45:48","Public MD",M1,,No,Yes,Yes,20,300,"Yes, partial",50,600,200,100,0,100,0,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,No,"Very little in the way of scholarships. They do have academic advisors we can meet with regarding finances ",Agree,"Strongly disagree",Neutral,Agree,"Significantly more than",25,Man,White,No,Complete
284,,"2022-03-13 13:34:33","Public MD",M3,,Yes,Yes,No,4,200,"Yes, partial",200,2000,500,500,1300,500,0,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",31,Man,"Prefer not to answer",Yes,Complete
285,,"2022-03-13 14:28:38","Public MD",M4,,No,Yes,No,60,240,No,250,2000,3000,250,2000,200,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",28,Man,White,Yes,Complete
286,,"2022-03-13 14:38:26","Public MD",M2,,Yes,Yes,No,12,300,No,50,2000,500,500,600,200,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",26,Man,White,No,Complete
287,,"2022-03-13 15:00:26","Public MD",M2,,No,Yes,No,100,44,No,50,1600,200,100,750,200,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",25,Woman,White,No,Complete
288,,"2022-03-13 15:08:42","Public MD",M2,,No,Yes,No,56,132,No,50,2200,700,0,950,250,,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,No,,"Strongly agree",Neutral,"Strongly agree",Agree,"Significantly more than",24,Woman,White,No,Complete
289,,"2022-03-13 17:56:55","Public MD",M2,,No,No,No,4,184,No,100,2000,200,350,750,300,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Agree,"Strongly agree","Significantly more than",24,Woman,White,No,Complete
290,,"2022-03-13 18:58:10","Public MD",M1,,No,Yes,No,0,300,"Yes, partial",50,750,100,0,,50,,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,"Strongly agree","The same as",24,Woman,White,No,Complete
291,,"2022-03-13 20:00:45","Public MD",M1,,No,Yes,Yes,112,160,"Yes, partial",200,750,1100,500,0,1050,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,Agree,Agree,"Significantly more than",23,Man,White,Yes,Complete
292,,"2022-03-14 00:14:07","Public MD",M4,,Yes,Yes,Yes,120,160,"Yes, partial",200,1500,1000,250,1500,500,750,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,Neutral,Agree,Agree,"Significantly more than",27,Woman,White,No,Complete
293,,"2022-03-14 12:18:57","Private MD",M1,,No,Yes,No,8,200,"Yes, partial",1600,100,350,0,0,500,0,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,"Standard loan +/- financial aid","Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",24,Woman,"Prefer not to answer",Yes,Complete
294,,"2022-03-14 12:50:27","Public MD",M3,,Yes,Yes,No,0,304,No,1000,2000,1200,150,1500,250,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",30,Woman,White,No,Complete
295,,"2022-03-14 18:49:27","Public MD",M2,,No,No,Yes,40,4,"Yes, partial",50,2000,300,,650,450,,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Yes,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",24,Non-binary/non-conforming,White,No,Complete
296,,"2022-03-15 01:02:55","Private MD",M2,,No,Yes,No,20,216,"Yes, partial",100,1050,300,0,2000,400,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,Agree,Agree,Agree,"Strongly agree","Significantly more than",23,Man,White,No,Complete
297,,"2022-03-15 07:13:41","Public MD",M1,,Yes,Yes,Yes,4,80,"Yes, partial",50,1800,50,0,0,400,900,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,No,"I got an institutional scholarship however I do not qualify for other FAFSA based financial assistance since I am an international student","Strongly agree",Neutral,"Strongly agree",Agree,"Significantly more than",23,Woman,Asian,No,Complete
298,,"2022-03-15 11:26:32","Public MD",M2,,Yes,Yes,No,0,400,No,450,2100,650,350,1300,200,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,No,"Financial aid, grad PLUS loans, small scholarships","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",25,Woman,White,No,Complete
299,,"2022-03-15 19:47:03","Private MD",M3,,No,No,No,0,304,"Yes, partial",200,850,200,200,2500,200,0,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,No,,"Strongly agree",Agree,"Strongly agree",Neutral,"Significantly more than",29,Woman,White,No,Complete
300,,"2022-03-16 10:38:04","Private MD",M3,,No,Yes,Yes,200,0,"Yes, partial",50,1300,500,300,1350,1500,,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,Yes,,Agree,"Strongly agree",Neutral,Neutral,"Significantly more than",25,Woman,"Black or African American",No,Complete
301,,"2022-03-18 10:30:35","Public MD",M2,,No,Yes,No,152,0,No,150,600,200,0,600,50,,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Agree,Neutral,Disagree,"The same as",25,Woman,White,No,Complete
302,,"2022-03-18 12:15:30","Private MD",M2,,No,Yes,No,0,200,"Yes, full",0,500,350,0,650,1200,,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Agree,Disagree,"The same as",26,Woman,White,No,Complete
303,,"2022-03-28 16:14:48","Private MD",M1,,No,Unsure,No,0,120,"Yes, full",300,500,300,50,0,150,0,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Agree,Agree,"Significantly more than",27,Man,"Prefer not to answer",Yes,Complete
304,,"2022-03-28 19:43:26","Public MD",M3,,No,Yes,Yes,12,80,"Yes, partial",1500,2500,350,150,1100,5000,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Disagree,Agree,"The same as",25,Woman,Asian,No,Complete
305,,"2022-04-02 18:03:39","Public MD",M4,,Yes,Yes,No,52,0,"Yes, MSTP or other PhD funded program",600,750,200,0,1300,250,2100,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,Neutral,Agree,"Significantly more than",29,Man,White,Yes,Complete
306,,"2022-04-04 11:50:00","Private MD",M3,,No,Yes,No,0,100,"Yes, full",1000,1500,600,0,2500,1550,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,"Strongly agree","Significantly more than",25,Woman,"Black or African American",No,Complete
307,,"2022-04-26 13:44:32","Private MD",M3,,Yes,Yes,Yes,0,92,"Yes, partial",200,1500,100,50,1500,500,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,No,"additional loans are available ","Strongly agree",Disagree,Agree,Agree,"Significantly more than",24,Woman,"Black or African American",No,Complete
308,,"2022-05-24 15:32:15","Private MD","Research/Year out",,No,Yes,Yes,36,0,"Yes, MSTP or other PhD funded program",100,450,300,50,700,100,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Neutral,Disagree,Neutral,"The same as",30,Man,White,No,Complete
309,,"2022-05-24 15:32:32","Private MD",M2,,No,No,Yes,284,0,No,50,0,50,,,450,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Neutral,Agree,"Significantly more than",23,,Asian,No,Complete
310,,"2022-05-24 15:32:48","Private MD",M2,,No,No,Yes,200,8,"Yes, partial",50,100,250,0,0,50,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Disagree,Agree,"The same as",26,Woman,White,No,Complete
311,,"2022-05-24 15:33:30","Private MD",M4,,No,Yes,Yes,168,148,"Yes, MSTP or other PhD funded program",3100,2400,550,0,2100,550,1200,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Yes,,Agree,Disagree,Neutral,Neutral,"Significantly more than",26,Woman,Asian,No,Complete
312,,"2022-05-24 15:34:31","Private MD",M3,,No,Yes,No,0,200,"Yes, partial",0,1000,200,0,1200,500,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree","Strongly agree",Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
313,,"2022-05-24 15:35:09","Private MD",M4,,No,Yes,Yes,72,0,No,100,800,400,0,800,500,1500,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Disagree,Disagree,"The same as",26,Woman,Asian,No,Complete
314,,"2022-05-24 15:35:26","Private MD",M3,,No,No,Yes,0,0,"Yes, partial",50,800,0,50,1300,3200,,Checked,Checked,Checked,Checked,Checked,Checked,Checked,,,Agree,Agree,Neutral,Neutral,"The same as",25,Woman,Asian,No,Complete
315,,"2022-05-24 15:35:45","Private MD",M3,,No,Yes,No,0,200,"Yes, partial",100,1000,100,0,1300,1000,,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Disagree,Agree,Neutral,Disagree,"The same as",24,Woman,Asian,No,Complete
316,,"2022-05-24 15:36:00","Private MD",M3,,No,Yes,No,,,"Yes, partial",,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Neutral,Disagree,"The same as",,Woman,Asian,No,Complete
317,,"2022-05-24 15:36:07","Private MD",M1,,No,Yes,No,0,0,"Yes, full",0,0,350,0,0,2100,0,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Disagree,"Strongly disagree","The same as",25,Man,"Black or African American",No,Complete
318,,"2022-05-24 15:36:36","Private MD",M4,,No,No,Yes,32,200,No,200,2800,450,300,3100,650,15000,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,No,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",26,Man,"Prefer not to answer",No,Complete
319,,"2022-05-24 15:36:41","Private MD",M4,,No,No,Yes,36,0,No,350,2000,450,100,1200,300,600,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,Disagree,"The same as",27,Woman,"Black or African American",No,Complete
320,,"2022-05-24 15:40:21","Private MD",M1,,No,Yes,No,0,252,"Yes, partial",500,500,550,350,350,2050,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",,Woman,White,Yes,Complete
321,,"2022-05-24 15:43:11","Private MD",M1,,No,No,No,56,0,"Yes, MSTP or other PhD funded program",500,200,450,0,,1300,,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unsure,,Neutral,"Strongly agree","Strongly disagree",Disagree,"The same as",23,Woman,Asian,No,Complete
322,,"2022-05-24 15:54:38","Private MD",M4,,No,Yes,Yes,20,180,No,100,3000,500,0,1300,100,150,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Neutral,Disagree,"Significantly more than",27,Man,White,No,Complete
323,,"2022-05-24 15:56:17","Private MD",M3,,No,Yes,Yes,12,76,"Yes, full",100,1000,300,0,1400,200,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Neutral,Neutral,Agree,Disagree,"Significantly more than",26,Woman,Asian,No,Complete
324,,"2022-05-24 15:56:48","Public MD","Graduate student, professional student years",,No,No,No,36,0,"Yes, MSTP or other PhD funded program",150,1000,150,250,500,300,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Disagree,"Strongly disagree","The same as",24,Man,Asian,No,Complete
325,,"2022-05-24 16:13:38","Private MD",M4,,No,No,No,20,84,"Yes, full",1000,2500,1000,600,3000,1500,15000,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,"Need based financial aid","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",30,Man,"Black or African American",No,Complete
326,,"2022-05-24 16:17:31","Private MD","Graduate student, professional student years",,No,Yes,No,36,0,"Yes, MSTP or other PhD funded program",350,1000,1000,1000,2500,1250,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly disagree",Neutral,Neutral,Neutral,"The same as",32,Man,Asian,No,Complete
327,,"2022-05-24 16:29:23","Private MD",M2,,No,No,Yes,280,0,"Yes, partial",250,150,200,0,0,1000,,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Yes,,Disagree,Agree,"Strongly disagree","Strongly disagree","The same as",25,Non-binary/non-conforming,Asian,No,Complete
328,,"2022-05-24 16:45:47","Private MD",M2,,No,Yes,No,36,0,"Yes, MSTP or other PhD funded program",100,100,250,150,1100,500,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,Neutral,Agree,Agree,Agree,"The same as",24,Woman,Asian,No,Complete
329,,"2022-05-24 16:47:52","Private MD",M1,,No,No,Yes,4,0,"Yes, full",0,0,0,0,0,0,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Yes,,"Strongly disagree",Agree,"Strongly disagree","Strongly disagree","Significantly less than",25,Woman,"Black or African American",No,Complete
330,,"2022-05-24 17:05:03","Private MD",M1,,Yes,Yes,Yes,4,100,"Yes, full",,,500,,,500,,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,No,,Agree,Neutral,"Strongly agree",Agree,"The same as",22,Man,White,Yes,Complete
331,,"2022-05-24 17:15:54","Private MD",M3,,No,No,Yes,0,120,"Yes, full",200,1500,150,400,2500,1000,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Disagree,Disagree,"The same as",26,Woman,"Black or African American",No,Complete
332,,"2022-05-24 17:32:31","Private MD",M2,,No,No,Yes,,0,"Yes, full",50,600,100,200,,0,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,Disagree,"The same as",25,Woman,White,No,Complete
333,,"2022-05-24 17:40:41","Private MD",M2,,Yes,,Yes,4,252,"Yes, partial",100,300,600,0,0,700,0,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Yes,,Agree,Agree,Agree,Agree,"The same as",28,Woman,White,No,Complete
334,,"2022-05-24 18:08:15","Private MD",M4,,No,No,Yes,400,0,No,100,1300,400,0,1100,0,,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Neutral,"Strongly disagree","Strongly disagree","The same as",30,Man,White,Yes,Complete
335,,"2022-05-24 18:29:38","Private MD",M2,,No,No,Yes,400,8,No,1000,4000,1150,0,1000,700,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly disagree","Strongly disagree","Significantly more than",26,Woman,White,No,Complete
336,,"2022-05-24 18:42:03","Public MD",M3,,No,Yes,Yes,132,180,"Yes, full",150,2100,800,200,1900,400,,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Neutral,"Significantly more than",32,Woman,White,No,Complete
337,,"2022-05-24 18:44:35","Private MD",M2,,No,Yes,Yes,400,0,"Yes, full",400,3500,600,500,,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,"Financial aid and merit scholarships but no additional support for hidden costs","Strongly agree",Disagree,Neutral,Neutral,"Significantly more than",25,Woman,White,No,Complete
338,,"2022-05-24 19:21:42","Private MD",M1,,No,No,Yes,44,0,"Yes, MSTP or other PhD funded program",0,0,0,0,0,1000,0,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Disagree,Disagree,"The same as",25,Non-binary/non-conforming,White,No,Complete
